시도,시군구,성별,연도,급여유형,등급,인원
충남,아산시,합계,2023,계,1등급,258
충남,아산시,합계,2023,계,2등급,518
충남,아산시,합계,2023,계,3등급,1437
충남,아산시,합계,2023,계,4등급,2111
충남,아산시,합계,2023,계,5등급,820
충남,아산시,합계,2023,계,인지지원등급,294
충남,아산시,합계,2023,계,등급외,632
충남,아산시,합계,2023,일반,계,3030
충남,아산시,합계,2023,일반,1등급,121
충남,아산시,합계,2023,일반,2등급,232
충남,아산시,합계,2023,일반,3등급,672
충남,아산시,합계,2023,일반,4등급,981
충남,아산시,합계,2023,일반,5등급,386
충남,아산시,합계,2023,일반,인지지원등급,153
충남,아산시,합계,2023,일반,등급외,485
충남,아산시,합계,2023,감경,계,2123
충남,아산시,합계,2023,감경,1등급,102
충남,아산시,합계,2023,감경,2등급,216
충남,아산시,합계,2023,감경,3등급,565
충남,아산시,합계,2023,감경,4등급,828
충남,아산시,합계,2023,감경,5등급,299
충남,아산시,합계,2023,감경,인지지원등급,98
충남,아산시,합계,2023,감경,등급외,15
충남,아산시,합계,2023,의료급여,계,41
충남,아산시,합계,2023,의료급여,1등급,0
충남,아산시,합계,2023,의료급여,2등급,8
충남,아산시,합계,2023,의료급여,3등급,6
충남,아산시,합계,2023,의료급여,4등급,14
충남,아산시,합계,2023,의료급여,5등급,7
충남,아산시,합계,2023,의료급여,인지지원등급,5
충남,아산시,합계,2023,의료급여,등급외,1
충남,아산시,합계,2023,기초,계,876
충남,아산시,합계,2023,기초,1등급,35
충남,아산시,합계,2023,기초,2등급,62
충남,아산시,합계,2023,기초,3등급,194
충남,아산시,합계,2023,기초,4등급,288
충남,아산시,합계,2023,기초,5등급,128
충남,아산시,합계,2023,기초,인지지원등급,38
충남,아산시,합계,2023,기초,등급외,131
충남,아산시,합계,2024,계,계,6546
충남,아산시,합계,2024,계,1등급,264
충남,아산시,합계,2024,계,2등급,505
충남,아산시,합계,2024,계,3등급,1543
충남,아산시,합계,2024,계,4등급,2418
충남,아산시,합계,2024,계,5등급,939
충남,아산시,합계,2024,계,인지지원등급,274
충남,아산시,합계,2024,계,등급외,603
충남,아산시,합계,2024,일반,계,3125
충남,아산시,합계,2024,일반,1등급,120
충남,아산시,합계,2024,일반,2등급,208
충남,아산시,합계,2024,일반,3등급,674
충남,아산시,합계,2024,일반,4등급,1094
충남,아산시,합계,2024,일반,5등급,437
충남,아산시,합계,2024,일반,인지지원등급,132
충남,아산시,합계,2024,일반,등급외,460
충남,아산시,합계,2024,감경,계,2407
충남,아산시,합계,2024,감경,1등급,99
충남,아산시,합계,2024,감경,2등급,217
충남,아산시,합계,2024,감경,3등급,653
충남,아산시,합계,2024,감경,4등급,976
충남,아산시,합계,2024,감경,5등급,353
충남,아산시,합계,2024,감경,인지지원등급,92
충남,아산시,합계,2024,감경,등급외,17
충남,아산시,합계,2024,의료급여,계,50
충남,아산시,합계,2024,의료급여,1등급,1
충남,아산시,합계,2024,의료급여,2등급,7
충남,아산시,합계,2024,의료급여,3등급,7
충남,아산시,합계,2024,의료급여,4등급,21
충남,아산시,합계,2024,의료급여,5등급,6
충남,아산시,합계,2024,의료급여,인지지원등급,5
충남,아산시,합계,2024,의료급여,등급외,3
충남,아산시,합계,2024,기초,계,964
충남,아산시,합계,2024,기초,1등급,44
충남,아산시,합계,2024,기초,2등급,73
충남,아산시,합계,2024,기초,3등급,209
충남,아산시,합계,2024,기초,4등급,327
충남,아산시,합계,2024,기초,5등급,143
충남,아산시,합계,2024,기초,인지지원등급,45
충남,아산시,합계,2024,기초,등급외,123
충남,아산시,남자,2014,계,계,627
충남,아산시,남자,2014,계,1등급,32
충남,아산시,남자,2014,계,2등급,86
충남,아산시,남자,2014,계,3등급,203
충남,아산시,남자,2014,계,4등급,139
충남,아산시,남자,2014,계,5등급,8
충남,아산시,남자,2014,계,등급외,159
충남,아산시,남자,2014,일반,계,485
충남,아산시,남자,2014,일반,1등급,27
충남,아산시,남자,2014,일반,2등급,64
충남,아산시,남자,2014,일반,3등급,156
